,Ccategory,Full set,CCS,Electricity Generation,Emissions,Final Energy Fuels,Hydrogen,Land stuff,Primary Energy,Secondary Energy Liquids,Sector Industry,Sector Residential,Sector Transportation
0,Total,0,24,80,753,1086,564,666,283,1015,818,810,675
1,C1,0,9,0,65,84,49,56,12,77,63,68,46
2,C2,0,1,5,89,121,81,86,40,113,98,91,69
3,C3,0,5,18,206,286,154,176,69,253,221,232,197
4,C4,0,0,21,95,150,66,95,49,132,105,104,100
5,C5,0,4,17,143,202,105,143,66,190,152,154,147
6,C6,0,1,11,62,89,49,55,27,89,67,67,62
7,C7,0,4,8,82,140,53,54,20,133,102,87,48
8,C8,0,0,0,11,14,7,1,0,28,10,7,6
