,Model,Full set,CCS,Electricity Generation,Emissions,Final Energy Fuels,Hydrogen,Land stuff,Primary Energy,Secondary Energy Liquids,Sector Industry,Sector Residential,Sector Transportation
0,Total,0,24,80,753,1086,564,666,283,1015,818,810,675
1,AIM,0,0,0,7,42,0,47,0,49,36,41,36
2,C-ROADS-5.005,0,0,0,0,0,0,0,0,0,0,0,0
3,COFFEE 1.1,0,0,0,1,65,0,65,0,65,65,0,65
4,EPPA 6,0,0,0,0,0,0,0,0,0,0,0,0
5,GCAM,0,0,0,45,48,0,45,0,14,45,45,0
6,GEM-E3_V2021,0,0,0,0,0,0,0,0,0,0,0,0
7,IMAGE,0,0,0,104,142,70,78,0,134,88,88,30
8,MERGE-ETL 6.0,0,0,0,0,1,0,0,0,1,0,0,0
9,MESSAGE,0,0,0,190,247,190,197,203,238,201,191,190
10,POLES,0,0,80,89,114,80,0,80,113,89,89,80
11,REMIND-MAgPIE,0,24,0,229,297,224,150,0,296,249,227,197
12,TIAM-ECN 1.1,0,0,0,0,45,0,0,0,0,45,45,0
13,WITCH,0,0,0,88,85,0,84,0,105,0,84,77
